dataset	n_genomes	method	bytes	bytes_per_genome
nctc3k	2	gz	1981725	990862.5
nctc3k	3	gz	2763514	921171.3333333334
nctc3k	4	gz	3368268	842067
nctc3k	5	gz	4900877	980175.4
nctc3k	6	gz	5436596	906099.3333333334
nctc3k	7	gz	5968406	852629.4285714285
nctc3k	8	gz	7375079	921884.875
nctc3k	9	gz	8838632	982070.2222222222
nctc3k	10	gz	10219143	1021914.3
nctc3k	20	gz	21365448	1068272.4
nctc3k	30	gz	33422495	1114083.1666666667
nctc3k	40	gz	43250260	1081256.5
nctc3k	50	gz	54700067	1094001.34
nctc3k	60	gz	63670598	1061176.6333333333
nctc3k	70	gz	75665118	1080930.2571428572
nctc3k	80	gz	87676958	1095961.975
nctc3k	90	gz	97507570	1083417.4444444445
nctc3k	100	gz	108465154	1084651.54
nctc3k	200	gz	223162703	1115813.515
nctc3k	300	gz	332261819	1107539.3966666667
nctc3k	400	gz	446198096	1115495.24
nctc3k	500	gz	557048296	1114096.592
nctc3k	600	gz	669859392	1116432.32
nctc3k	700	gz	791861508	1131230.7257142856
nctc3k	800	gz	914510844	1143138.555
nctc3k	900	gz	1026454462	1140504.9577777777
nctc3k	1000	gz	1137132466	1137132.466
nctc3k	1065	gz	1205823687	1132228.814084507
nctc3k	2	bz2	1915417	957708.5
nctc3k	3	bz2	2675093	891697.6666666666
nctc3k	4	bz2	3261183	815295.75
nctc3k	5	bz2	4727087	945417.4
nctc3k	6	bz2	5243829	873971.5
nctc3k	7	bz2	5767528	823932.5714285715
nctc3k	8	bz2	7133814	891726.75
nctc3k	9	bz2	8545449	949494.3333333334
nctc3k	10	bz2	9882110	988211
nctc3k	20	bz2	20620825	1031041.25
nctc3k	30	bz2	32263183	1075439.4333333333
nctc3k	40	bz2	41747682	1043692.05
nctc3k	50	bz2	52812066	1056241.32
nctc3k	60	bz2	61507891	1025131.5166666667
nctc3k	70	bz2	73039924	1043427.4857142858
nctc3k	80	bz2	84616008	1057700.1
nctc3k	90	bz2	94118080	1045756.4444444445
nctc3k	100	bz2	104710781	1047107.81
nctc3k	200	bz2	215459380	1077296.9
nctc3k	300	bz2	320778801	1069262.67
nctc3k	400	bz2	430726976	1076817.44
nctc3k	500	bz2	537826318	1075652.636
nctc3k	600	bz2	646661915	1077769.8583333334
nctc3k	700	bz2	764429490	1092042.1285714286
nctc3k	800	bz2	882629512	1103286.89
nctc3k	900	bz2	990547477	1100608.3077777778
nctc3k	1000	bz2	1097497989	1097497.989
nctc3k	1065	bz2	1163785160	1092756.0187793428
nctc3k	2	xz	1799496	899748
nctc3k	3	xz	2488280	829426.6666666666
nctc3k	4	xz	3024096	756024
nctc3k	5	xz	4245896	849179.2
nctc3k	6	xz	4696340	782723.3333333334
nctc3k	7	xz	5174740	739248.5714285715
nctc3k	8	xz	6435552	804444
nctc3k	9	xz	6651932	739103.5555555555
nctc3k	10	xz	7809272	780927.2
nctc3k	20	xz	12291520	614576
nctc3k	30	xz	17815784	593859.4666666667
nctc3k	40	xz	20549012	513725.3
nctc3k	50	xz	26043688	520873.76
nctc3k	60	xz	29572336	492872.26666666666
nctc3k	70	xz	32790584	468436.9142857143
nctc3k	80	xz	37548564	469357.05
nctc3k	90	xz	42830696	475896.6222222222
nctc3k	100	xz	46118956	461189.56
nctc3k	200	xz	77432548	387162.74
nctc3k	300	xz	99608364	332027.88
nctc3k	400	xz	122497588	306243.97
nctc3k	500	xz	141108580	282217.16
nctc3k	600	xz	163284340	272140.56666666665
nctc3k	700	xz	189479872	270685.53142857144
nctc3k	800	xz	210890876	263613.595
nctc3k	900	xz	226660348	251844.83111111113
nctc3k	1000	xz	247693596	247693.596
nctc3k	1065	xz	257204372	241506.45258215963
