batch	asm_set	asm_multiset	asm_min_freq	asm_max_freq	asm_avg_freq	asm_recs	asm_sum_ns	asm_min_ns	asm_max_ns	asm_avg_ns	asm_sum_cl	asm_min_cl	asm_max_cl	asm_avg_cl	asm_xz_size	asm_sum_gz_size	pre_set	pre_multiset	pre_min_freq	pre_max_freq	pre_avg_freq	pre_recs	pre_sum_ns	pre_min_ns	pre_max_ns	pre_avg_ns	pre_sum_cl	pre_min_cl	pre_max_cl	pre_avg_cl	pre_xz_size	post_set	post_multiset	post_min_freq	post_max_freq	post_avg_freq	post_recs	post_sum_ns	post_min_ns	post_max_ns	post_avg_ns	post_sum_cl	post_min_cl	post_max_cl	post_avg_cl	post_xz_size
subset_0002	7579390	7712548	1	15	1.0175684322880865	2	4	1	3	2.0	7712668	1921454	5791214	3856334.0	1958068	2284409	7579390	7579488	1	2	1.0000129298004192	2	860	271	589	430.0	7605288	1868529	5736759	3802644.0	1955400	7579390	7579390	1	1	1.0	3	884	8	597	294.6666666666667	7605910	338	5736901	2535303.3333333335	1955780
subset_0003	10509006	10705218	1	18	1.0186708428941804	3	6	1	3	2.0	10705398	1921454	5791214	3568466.0	2709844	3169724	10509006	10510589	1	3	1.000150632704939	3	1305	271	589	435.0	10549739	1868529	5736759	3516579.6666666665	2705364	10509006	10509012	1	2	1.000000570938869	5	1529	7	596	305.8	10554882	306	5736873	2110976.4	2706064
subset_0004	15619468	15944731	1	35	1.0208242047680498	4	11	1	5	2.75	15945061	1921454	5791214	3986265.25	4023648	4723928	15619468	15621907	1	4	1.00015615128505	4	1869	271	589	467.25	15677977	1868529	5736759	3919494.25	4013192	15619468	15619615	1	2	1.0000094113320632	7	2228	5	638	318.2857142857143	15686455	239	5737507	2240922.1428571427	4014772
subset_0005	20159394	20629892	1	35	1.0233388960005445	5	14	1	5	2.8	20630312	1921454	5791214	4126062.4	5158588	6114630	20159394	20203206	1	5	1.0021732796134646	5	2483	271	614	496.6	20277696	1868529	5736759	4055539.2	5049540	20159394	20160164	1	3	1.0000381955925857	9	10235	5	3103	1137.2222222222222	20467214	239	5770168	2274134.888888889	5102664
subset_0006	22747628	23340419	1	35	1.0260594643098613	6	19	1	5	3.1666666666666665	23340989	1921454	5791214	3890164.8333333335	5827184	6915553	22747628	22792568	1	6	1.0019755905978416	6	3122	271	639	520.3333333333334	22886228	1868529	5736759	3814371.3333333335	5712664	22747628	22749109	1	3	1.0000651056892613	11	10936	4	3103	994.1818181818181	23077189	166	5770168	2097926.272727273	5769504
subset_0007	27504217	28425494	1	68	1.0334958453825462	7	22	1	5	3.142857142857143	28426154	1921454	5791214	4060879.1428571427	6809076	8423165	27504217	27674343	1	7	1.0061854514891297	7	4158	271	1036	594.0	27799083	1868529	5736759	3971297.5714285714	6694668	27504217	27606566	1	4	1.0037212111873608	13	13728	4	3103	1056.0	28018406	166	5770168	2155262.0	6762444
subset_0008	32517051	33671486	1	72	1.0355024506988657	8	23	1	5	2.875	33672176	1921454	5791214	4209022.0	7750908	9971457	32517051	32838593	1	8	1.0098884120826332	8	4864	271	1036	608.0	32984513	1868529	5736759	4123064.125	7638776	32517051	32768805	1	5	1.007742214999755	15	14579	1	3103	971.9333333333333	33206175	32	5770168	2213745.0	7717048
subset_0009	33053398	35520196	1	72	1.0746306930379745	9	24	1	5	2.6666666666666665	35520916	1848740	5791214	3946768.4444444445	7822120	10520393	33053398	34651086	1	9	1.048336573443977	9	4966	102	1036	551.7777777777778	34800066	1815553	5736759	3866674.0	7901848	33053398	33305180	1	5	1.007617431648026	17	41007	1	9034	2412.176470588235	34535390	32	5770168	2031493.5294117648	7970912
subset_0010	37955145	40524441	1	72	1.0676929570417923	10	26	1	5	2.6	40525221	1848740	5791214	4052522.1	8995508	12009758	37955145	39565806	1	10	1.0424359069106441	10	5521	102	1036	552.1	39731436	1815553	5736759	3973143.6	9077744	37955145	38286836	1	7	1.0087390260266427	19	32277	1	9034	1698.7894736842106	39255146	32	5737145	2066060.3157894737	9068588
subset_0020	58277152	84659121	1	189	1.4526983233497752	20	61	1	11	3.05	84660951	1807172	5791214	4233047.55	14002928	25080226	58277152	82482544	1	20	1.415349603906519	20	12404	102	1627	620.2	82854664	1738543	5736759	4142733.2	14448936	58277152	69779089	1	10	1.1973661478858817	39	297700	0	36195	7633.333333333333	78710089	0	5737145	2018207.4102564103	15837228
subset_0030	77102244	121438547	1	234	1.5750325891941614	30	85	1	11	2.8333333333333335	121441097	1807172	6779167	4048036.566666667	19554784	35844489	77102244	118334886	1	30	1.5347787542992912	30	18170	102	1627	605.6666666666666	118879986	1738543	6760793	3962666.2	19593788	77102244	98858770	1	15	1.2821775978400836	59	337434	0	36123	5719.220338983051	108981790	0	6761775	1847148.9830508474	20983672
subset_0040	84599048	169896123	1	327	2.008251003013651	40	141	1	16	3.525	169900353	1807172	7155247	4247508.825	21419244	50087843	84599048	165572050	1	40	1.9571384538511591	40	26862	102	1627	671.55	166377910	1738543	7037981	4159447.75	22384396	84599048	120042334	1	17	1.418956085652406	79	599633	0	34904	7590.291139240507	138031324	0	6761657	1747231.9493670885	24564352
subset_0050	96321356	201972363	1	383	2.096859631004364	50	163	1	16	3.26	201977253	1748538	7155247	4039545.06	24113748	59551041	96321356	196644579	1	49	2.0415470376060734	50	33833	102	2320	676.66	197659569	1686571	7037981	3953191.38	25289708	96321356	147280618	1	19	1.5290546574115922	99	707224	0	37513	7143.676767676768	168497338	0	7038963	1701993.313131313	28006716
subset_0060	106256978	244975405	1	463	2.3054994562333593	60	194	1	16	3.2333333333333334	244981225	1748538	7155247	4083020.4166666665	26317208	72191907	106256978	238658541	1	59	2.246050522912481	60	41528	102	2320	692.1333333333333	239904381	1686571	7037981	3998406.35	28021516	106256978	152865657	1	19	1.4386411121159497	119	1250478	0	44382	10508.218487394957	190379997	0	6761697	1599831.9075630251	32652608
subset_0070	132506634	291955918	1	494	2.2033305743771288	70	224	1	16	3.2	291962638	1748538	7155247	4170894.8285714285	32299024	86089592	132506634	284221993	1	69	2.1449642513747653	70	49633	102	2320	709.0428571428571	285710983	1686571	7037981	4081585.4714285713	33344528	132506634	189377746	1	22	1.4291944507472736	139	1436765	0	45761	10336.438848920863	232480696	0	7038963	1672522.9928057555	39102656
subset_0080	142826892	336791039	1	565	2.358036601398566	80	277	1	24	3.4625	336799349	1748538	7155247	4209991.8625	34375000	99311626	142826892	328153815	1	79	2.297563227798866	80	56291	102	2320	703.6375	329842545	1686571	7037981	4123031.8125	35953408	142826892	216390498	1	25	1.515054307840011	159	1807234	0	45761	11366.251572327044	270607518	0	7038963	1701934.075471698	43365004
subset_0090	154847717	366883422	1	579	2.3693176051152243	90	296	1	24	3.2888888888888888	366892302	1748538	7155247	4076581.1333333333	37001752	108213677	154847717	357544994	1	89	2.3090104324883267	90	60080	102	2320	667.5555555555555	359347394	1686571	7037981	3992748.822222222	38670776	154847717	233903021	1	24	1.5105358059621894	179	1955921	0	44931	10926.932960893855	292580651	0	7038963	1634528.776536313	46802392
subset_0100	161009743	408549034	1	679	2.537418086556414	100	320	1	24	3.2	408558634	1748538	7155247	4085586.34	38304596	120541542	161009743	398025532	1	99	2.4720586753560623	100	68662	102	2320	686.62	400085392	1686571	7037981	4000853.92	40176544	161009743	248227728	1	24	1.5416938340184791	199	2125548	0	44931	10681.145728643216	311994168	0	7038963	1567809.8894472362	49035024
subset_0300	388605628	1216249472	1	2279	3.1297783263190415	300	1659	1	367	5.53	1216299242	1527717	8528890	4054330.8066666666	96459540	359135617	388605628	1184070427	1	297	3.0469718956309095	300	216481	26	2970	721.6033333333334	1190564857	1493714	8482913	3968549.5233333334	97994264	388605628	651673387	1	58	1.6769530342468433	599	5982960	0	53638	9988.247078464106	831162187	0	8484498	1387582.9499165276	122261552
subset_0500	564753278	2033714914	1	3884	3.6010679233277507	500	2324	1	367	4.648	2033784634	1527717	8528890	4067569.268	142968952	600399171	564753278	1979302277	1	495	3.504720298409671	500	370828	26	2970	741.656	1990427117	1493714	8482913	3980854.234	144243808	564753278	984963933	1	87	1.7440605860458591	999	9747955	0	53638	9757.712712712713	1277402583	0	8483251	1278681.2642642644	181615600
subset_0700	737774325	2853566537	1	5248	3.867804070031849	700	2978	1	367	4.2542857142857144	2853655877	848181	8528890	4076651.252857143	189138124	842504583	737774325	2774603323	1	692	3.7607751164287264	700	520894	26	3102	744.1342857142857	2790230143	812636	8482913	3986043.0614285716	192608780	737774325	1269294727	1	110	1.720437651445786	1399	13751632	0	59034	9829.615439599715	1681843687	0	8482956	1202175.616154396	242825748
subset_0900	880412648	3686660466	1	6966	4.187423334245421	900	3841	1	367	4.267777777777778	3686775696	848181	8528890	4096417.44	227325104	1088389385	880412648	3585195682	1	892	4.072176484679488	900	672549	26	3102	747.2766666666666	3605372152	812636	8482913	4005969.057777778	231018696	880412648	1566226952	1	136	1.7789691635597675	1799	17226094	0	56560	9575.371873262924	2083009772	0	8482956	1157870.912729294	293773320
subset_1065	992387598	4350966923	1	8209	4.384342299086248	1065	4896	1	367	4.597183098591549	4351113803	630454	8528890	4085552.8666666667	257221576	1284481127	992387598	4229452014	1	1055	4.261895274108413	1065	793709	24	3102	745.2666666666667	4253263284	626053	8482913	3993674.4450704227	261859576	992387598	1791080488	1	169	1.8048194995681517	2129	20237934	0	56846	9505.840300610615	2398218508	0	8483957	1126453.0333489901	332762940
