filename	method	genomes	kmers	bytes	compr_lines
recompressed_00000001.bz2	bz2	1	29553	8068	1
recompressed_00000001.gz	gz	1	29553	8884	1
recompressed_00000001.repair	repair	1	29553	28160	1
recompressed_00000001.xz	xz	1	29553	8324	1
recompressed_00000002.bz2	bz2	2	30625	12274	2
recompressed_00000002.gz	gz	2	30625	9417	2
recompressed_00000002.repair	repair	2	30625	13824	2
recompressed_00000002.xz	xz	2	30625	8540	2
recompressed_00000003.bz2	bz2	3	30887	14444	3
recompressed_00000003.gz	gz	3	30887	9861	3
recompressed_00000003.repair	repair	3	30887	13824	3
recompressed_00000003.xz	xz	3	30887	8596	3
recompressed_00000004.bz2	bz2	4	31011	15186	4
recompressed_00000004.gz	gz	4	31011	10216	4
recompressed_00000004.repair	repair	4	31011	13824	4
recompressed_00000004.xz	xz	4	31011	8640	4
recompressed_00000005.bz2	bz2	5	31807	19707	5
recompressed_00000005.gz	gz	5	31807	10627	5
recompressed_00000005.repair	repair	5	31807	14336	5
recompressed_00000005.xz	xz	5	31807	8764	5
recompressed_00000006.bz2	bz2	6	32337	19831	6
recompressed_00000006.gz	gz	6	32337	10987	6
recompressed_00000006.repair	repair	6	32337	14336	6
recompressed_00000006.xz	xz	6	32337	8820	6
recompressed_00000007.bz2	bz2	7	32647	17665	7
recompressed_00000007.gz	gz	7	32647	11359	7
recompressed_00000007.repair	repair	7	32647	14336	7
recompressed_00000007.xz	xz	7	32647	8880	7
recompressed_00000008.bz2	bz2	8	32893	18658	8
recompressed_00000008.gz	gz	8	32893	11718	8
recompressed_00000008.repair	repair	8	32893	14848	8
recompressed_00000008.xz	xz	8	32893	8952	8
recompressed_00000009.bz2	bz2	9	33017	22659	9
recompressed_00000009.gz	gz	9	33017	11999	9
recompressed_00000009.repair	repair	9	33017	14848	9
recompressed_00000009.xz	xz	9	33017	8980	9
recompressed_00000010.bz2	bz2	10	33110	22650	10
recompressed_00000010.gz	gz	10	33110	12379	10
recompressed_00000010.repair	repair	10	33110	14848	10
recompressed_00000010.xz	xz	10	33110	9016	10
recompressed_00000011.bz2	bz2	11	33683	23781	11
recompressed_00000011.gz	gz	11	33683	12765	11
recompressed_00000011.repair	repair	11	33683	15360	11
