dataset	n_genomes	method	kmers	bytes	bytes_per_genome
sc2	1	bz2	29553	8068	8068
sc2	1	gz	29553	8884	8884
sc2	1	repair	29553	28160	28160
sc2	1	xz	29553	8324	8324
sc2	2	bz2	30625	12274	6137
sc2	2	gz	30625	9417	4708.5
sc2	2	repair	30625	13824	6912
sc2	2	xz	30625	8540	4270
sc2	3	bz2	30887	14444	4814.666666666667
sc2	3	gz	30887	9861	3287
sc2	3	repair	30887	13824	4608
sc2	3	xz	30887	8596	2865.3333333333335
sc2	4	bz2	31011	15186	3796.5
sc2	4	gz	31011	10216	2554
sc2	4	repair	31011	13824	3456
sc2	4	xz	31011	8640	2160
sc2	5	bz2	31807	19707	3941.4
sc2	5	gz	31807	10627	2125.4
sc2	5	repair	31807	14336	2867.2
sc2	5	xz	31807	8764	1752.8
sc2	6	bz2	32337	19831	3305.1666666666665
sc2	6	gz	32337	10987	1831.1666666666667
sc2	6	repair	32337	14336	2389.3333333333335
sc2	6	xz	32337	8820	1470
sc2	7	bz2	32647	17665	2523.5714285714284
sc2	7	gz	32647	11359	1622.7142857142858
sc2	7	repair	32647	14336	2048
sc2	7	xz	32647	8880	1268.5714285714287
sc2	8	bz2	32893	18658	2332.25
sc2	8	gz	32893	11718	1464.75
sc2	8	repair	32893	14848	1856
sc2	8	xz	32893	8952	1119
sc2	9	bz2	33017	22659	2517.6666666666665
sc2	9	gz	33017	11999	1333.2222222222222
sc2	9	repair	33017	14848	1649.7777777777778
sc2	9	xz	33017	8980	997.7777777777778
sc2	10	bz2	33110	22650	2265
sc2	10	gz	33110	12379	1237.9
sc2	10	repair	33110	14848	1484.8
sc2	10	xz	33110	9016	901.6
sc2	11	bz2	33683	23781	2161.909090909091
sc2	11	gz	33683	12765	1160.4545454545455
sc2	11	repair	33683	15360	1396.3636363636363
sc2	11	xz	33683	9112	828.3636363636364
sc2	12	bz2	33776	23028	1919
sc2	12	gz	33776	13053	1087.75
sc2	12	repair	33776	15360	1280
sc2	12	xz	33776	9148	762.3333333333334
sc2	13	bz2	33962	23669	1820.6923076923076
sc2	13	gz	33962	13335	1025.7692307692307
sc2	13	repair	33962	15872	1220.923076923077
sc2	13	xz	33962	9196	707.3846153846154
sc2	14	bz2	34497	23615	1686.7857142857142
sc2	14	gz	34497	13679	977.0714285714286
sc2	14	repair	34497	16384	1170.2857142857142
sc2	14	xz	34497	9264	661.7142857142857
sc2	15	bz2	34718	21069	1404.6
sc2	15	gz	34718	13956	930.4
sc2	15	repair	34718	16896	1126.4
sc2	15	xz	34718	9300	620
sc2	16	bz2	34997	22764	1422.75
sc2	16	gz	34997	14263	891.4375
sc2	16	repair	34997	16896	1056
sc2	16	xz	34997	9332	583.25
sc2	17	bz2	35431	25755	1515
sc2	17	gz	35431	14591	858.2941176470588
sc2	17	repair	35431	17408	1024
sc2	17	xz	35431	9396	552.7058823529412
sc2	18	bz2	35555	25995	1444.1666666666667
sc2	18	gz	35555	14885	826.9444444444445
sc2	18	repair	35555	17408	967.1111111111111
sc2	18	xz	35555	9436	524.2222222222222
sc2	19	bz2	35586	28239	1486.2631578947369
sc2	19	gz	35586	15139	796.7894736842105
sc2	19	repair	35586	17408	916.2105263157895
sc2	19	xz	35586	9448	497.2631578947368
sc2	20	bz2	35834	26273	1313.65
sc2	20	gz	35834	15415	770.75
sc2	20	repair	35834	17920	896
sc2	20	xz	35834	9488	474.4
sc2	21	bz2	35834	28325	1348.8095238095239
sc2	21	gz	35834	15647	745.0952380952381
sc2	21	repair	35834	17920	853.3333333333334
sc2	21	xz	35834	9496	452.1904761904762
sc2	22	bz2	35896	28476	1294.3636363636363
sc2	22	gz	35896	15886	722.0909090909091
sc2	22	repair	35896	17920	814.5454545454545
sc2	22	xz	35896	9512	432.3636363636364
sc2	23	bz2	35958	27089	1177.7826086956522
sc2	23	gz	35958	16138	701.6521739130435
sc2	23	repair	35958	17920	779.1304347826087
sc2	23	xz	35958	9540	414.7826086956522
sc2	24	bz2	35958	26426	1101.0833333333333
sc2	24	gz	35958	16407	683.625
sc2	24	repair	35958	17920	746.6666666666666
sc2	24	xz	35958	9560	398.3333333333333
sc2	25	bz2	36578	28677	1147.08
sc2	25	gz	36578	16783	671.32
sc2	25	repair	36578	18432	737.28
sc2	25	xz	36578	9644	385.76
sc2	26	bz2	36800	28899	1111.5
sc2	26	gz	36800	17059	656.1153846153846
sc2	26	repair	36800	18432	708.9230769230769
sc2	26	xz	36800	9660	371.53846153846155
sc2	27	bz2	36986	27299	1011.074074074074
sc2	27	gz	36986	17347	642.4814814814815
sc2	27	repair	36986	18944	701.6296296296297
sc2	27	xz	36986	9708	359.55555555555554
sc2	28	bz2	37234	28939	1033.5357142857142
sc2	28	gz	37234	17701	632.1785714285714
sc2	28	repair	37234	18944	676.5714285714286
sc2	28	xz	37234	9760	348.57142857142856
sc2	29	bz2	37605	27156	936.4137931034483
sc2	29	gz	37605	18033	621.8275862068965
sc2	29	repair	37605	19456	670.8965517241379
sc2	29	xz	37605	9832	339.0344827586207
sc2	30	bz2	37752	27901	930.0333333333333
sc2	30	gz	37752	18349	611.6333333333333
sc2	30	repair	37752	19456	648.5333333333333
sc2	30	xz	37752	9904	330.1333333333333
sc2	31	bz2	38341	35880	1157.4193548387098
sc2	31	gz	38341	18698	603.1612903225806
sc2	31	repair	38341	19968	644.1290322580645
sc2	31	xz	38341	9956	321.16129032258067
sc2	32	bz2	38589	40225	1257.03125
sc2	32	gz	38589	19006	593.9375
sc2	32	repair	38589	19968	624
sc2	32	xz	38589	10016	313
sc2	33	bz2	39065	42196	1278.6666666666667
sc2	33	gz	39065	19343	586.1515151515151
sc2	33	repair	39065	20480	620.6060606060606
sc2	33	xz	39065	10088	305.6969696969697
sc2	34	bz2	39189	43112	1268
sc2	34	gz	39189	19598	576.4117647058823
sc2	34	repair	39189	20480	602.3529411764706
sc2	34	xz	39189	10104	297.1764705882353
sc2	35	bz2	39437	46811	1337.4571428571428
sc2	35	gz	39437	19904	568.6857142857143
sc2	35	repair	39437	20992	599.7714285714286
sc2	35	xz	39437	10168	290.51428571428573
sc2	36	bz2	39592	47017	1306.0277777777778
sc2	36	gz	39592	20167	560.1944444444445
sc2	36	repair	39592	21504	597.3333333333334
sc2	36	xz	39592	10228	284.1111111111111
sc2	37	bz2	39747	45630	1233.2432432432433
sc2	37	gz	39747	20424	552
sc2	37	repair	39747	21504	581.1891891891892
sc2	37	xz	39747	10248	276.97297297297297
sc2	38	bz2	40491	46247	1217.0263157894738
sc2	38	gz	40491	20855	548.8157894736842
sc2	38	repair	40491	22016	579.3684210526316
sc2	38	xz	40491	10360	272.63157894736844
sc2	39	bz2	40615	49851	1278.2307692307693
sc2	39	gz	40615	21124	541.6410256410256
sc2	39	repair	40615	22016	564.5128205128206
sc2	39	xz	40615	10404	266.7692307692308
sc2	40	bz2	40960	50190	1254.75
sc2	40	gz	40960	21541	538.525
sc2	40	repair	40960	22528	563.2
sc2	40	xz	40960	10480	262
sc2	41	bz2	40960	50850	1240.2439024390244
sc2	41	gz	40960	21773	531.0487804878048
sc2	41	repair	40960	22528	549.4634146341464
sc2	41	xz	40960	10480	255.609756097561
sc2	42	bz2	41136	50016	1190.857142857143
sc2	42	gz	41136	22081	525.7380952380952
sc2	42	repair	41136	22528	536.3809523809524
sc2	42	xz	41136	10556	251.33333333333334
sc2	43	bz2	41322	50674	1178.4651162790697
sc2	43	gz	41322	22458	522.2790697674419
sc2	43	repair	41322	23040	535.8139534883721
sc2	43	xz	41322	10628	247.1627906976744
sc2	44	bz2	41507	50498	1147.6818181818182
sc2	44	gz	41507	22743	516.8863636363636
sc2	44	repair	41507	23040	523.6363636363636
sc2	44	xz	41507	10672	242.54545454545453
sc2	45	bz2	41662	49251	1094.4666666666667
sc2	45	gz	41662	23008	511.2888888888889
sc2	45	repair	41662	23040	512
sc2	45	xz	41662	10712	238.04444444444445
sc2	46	bz2	41787	49801	1082.6304347826087
sc2	46	gz	41787	23292	506.3478260869565
sc2	46	repair	41787	23552	512
sc2	46	xz	41787	10760	233.91304347826087
sc2	47	bz2	42066	52855	1124.5744680851064
sc2	47	gz	42066	23714	504.5531914893617
sc2	47	repair	42066	23552	501.1063829787234
sc2	47	xz	42066	10824	230.29787234042553
sc2	48	bz2	42558	53341	1111.2708333333333
sc2	48	gz	42558	24044	500.9166666666667
sc2	48	repair	42558	24064	501.3333333333333
sc2	48	xz	42558	10892	226.91666666666666
sc2	49	bz2	42899	55311	1128.795918367347
sc2	49	gz	42899	24330	496.53061224489795
sc2	49	repair	42899	24576	501.55102040816325
sc2	49	xz	42899	10952	223.51020408163265
sc2	50	bz2	43473	53690	1073.8
sc2	50	gz	43473	24800	496
sc2	50	repair	43473	24576	491.52
sc2	50	xz	43473	11076	221.52
sc2	51	bz2	43628	55668	1091.5294117647059
sc2	51	gz	43628	25133	492.80392156862746
sc2	51	repair	43628	25088	491.921568627451
sc2	51	xz	43628	11148	218.58823529411765
sc2	52	bz2	43784	55854	1074.1153846153845
sc2	52	gz	43784	25406	488.5769230769231
sc2	52	repair	43784	25088	482.46153846153845
sc2	52	xz	43784	11192	215.23076923076923
sc2	53	bz2	43877	54610	1030.377358490566
sc2	53	gz	43877	25651	483.9811320754717
sc2	53	repair	43877	25088	473.35849056603774
sc2	53	xz	43877	11232	211.9245283018868
sc2	54	bz2	43908	53915	998.425925925926
sc2	54	gz	43908	25902	479.6666666666667
sc2	54	repair	43908	25088	464.5925925925926
sc2	54	xz	43908	11244	208.22222222222223
sc2	55	bz2	44063	55992	1018.0363636363636
sc2	55	gz	44063	26148	475.41818181818184
sc2	55	repair	44063	25600	465.45454545454544
sc2	55	xz	44063	11280	205.0909090909091
sc2	56	bz2	44823	56198	1003.5357142857143
sc2	56	gz	44823	26643	475.76785714285717
sc2	56	repair	44823	26624	475.42857142857144
sc2	56	xz	44823	11392	203.42857142857142
sc2	57	bz2	45631	54749	960.5087719298245
sc2	57	gz	45631	27068	474.87719298245617
sc2	57	repair	45631	27136	476.0701754385965
sc2	57	xz	45631	11452	200.91228070175438
sc2	58	bz2	45880	56334	971.2758620689655
sc2	58	gz	45880	27333	471.2586206896552
sc2	58	repair	45880	27136	467.86206896551727
sc2	58	xz	45880	11492	198.13793103448276
sc2	59	bz2	46559	54544	924.4745762711865
sc2	59	gz	46559	27754	470.40677966101697
sc2	59	repair	46559	27648	468.6101694915254
sc2	59	xz	46559	11592	196.47457627118644
sc2	60	bz2	46683	55914	931.9
sc2	60	gz	46683	28016	466.93333333333334
sc2	60	repair	46683	27648	460.8
sc2	60	xz	46683	11632	193.86666666666667
sc2	61	bz2	46714	63732	1044.7868852459017
sc2	61	gz	46714	28239	462.9344262295082
sc2	61	repair	46714	28160	461.6393442622951
sc2	61	xz	46714	11644	190.88524590163934
sc2	62	bz2	47055	68150	1099.1935483870968
sc2	62	gz	47055	28676	462.51612903225805
